articleId,isDisplayed,itemImageLink,categoryName,subCategoryName,brandName,warrantyType,warrantyLength,sellCounter,locale,itemName,description,specifications,seller,discount,popularity,warehouseName,price,quantity,promotionPrice,promoCode,promoEndDate,badge
GEN-DAI-1012,True,https://placehold.co/600x400?text=Daikin+Zaawansowane,Silniki i napędy,Zaawansowane,Daikin,manufacturer,24,0,pl,Daikin Zaawansowane Series 172,"Daikin Zaawansowane Series 172 to produkt z kategorii Silniki i napędy, charakteryzujący się wysoką jakością wykonania i niezawodnością.","Specyfikacja: Zaawansowane, moc 146W, gwarancja 24 miesiące.",Generated Seller,,7,Krakow Distribution Center,1357.39,28,,,,ABSENT
GEN-SIE-1013,True,https://placehold.co/600x400?text=Siemens+Zaawansowane,Enkodery,Zaawansowane,Siemens,manufacturer,24,0,pl,Siemens Zaawansowane Series 754,"Siemens Zaawansowane Series 754 to produkt z kategorii Enkodery, charakteryzujący się wysoką jakością wykonania i niezawodnością.","Specyfikacja: Zaawansowane, moc 118W, gwarancja 24 miesiące.",Generated Seller,,2,Warsaw Main Warehouse,1552.54,18,,,,HOT_DEALS
GEN-SIE-1014,True,https://placehold.co/600x400?text=Siemens+Zaawansowane,Bezpieczniki,Zaawansowane,Siemens,manufacturer,24,0,pl,Siemens Zaawansowane Series 314,"Siemens Zaawansowane Series 314 to produkt z kategorii Bezpieczniki, charakteryzujący się wysoką jakością wykonania i niezawodnością.","Specyfikacja: Zaawansowane, moc 57W, gwarancja 24 miesiące.",Generated Seller,,3,Warsaw Main Warehouse,5901.54,6,,,,LIMITED_EDITION
GEN-SIE-1015,True,https://placehold.co/600x400?text=Siemens+Zaawansowane,Bezpieczniki,Zaawansowane,Siemens,manufacturer,24,0,pl,Siemens Zaawansowane Series 399,"Siemens Zaawansowane Series 399 to produkt z kategorii Bezpieczniki, charakteryzujący się wysoką jakością wykonania i niezawodnością.","Specyfikacja: Zaawansowane, moc 183W, gwarancja 24 miesiące.",Generated Seller,,6,Warsaw Main Warehouse,6745.56,2,,,,NEW
GEN-ATL-1016,True,https://placehold.co/600x400?text=Atlas Copco+Standard,Komponenty systemów bezpieczeństwa,Standard,Atlas Copco,manufacturer,24,0,pl,Atlas Copco Standard Series 151,"Atlas Copco Standard Series 151 to produkt z kategorii Komponenty systemów bezpieczeństwa, charakteryzujący się wysoką jakością wykonania i niezawodnością.","Specyfikacja: Standard, moc 104W, gwarancja 24 miesiące.",Generated Seller,,6,Lviv Warehouse,4205.44,29,,,,HOT_DEALS
GEN-ATL-1017,True,https://placehold.co/600x400?text=Atlas Copco+Standard,Urządzenia przełączające,Standard,Atlas Copco,manufacturer,24,0,pl,Atlas Copco Standard Series 183,"Atlas Copco Standard Series 183 to produkt z kategorii Urządzenia przełączające, charakteryzujący się wysoką jakością wykonania i niezawodnością.","Specyfikacja: Standard, moc 151W, gwarancja 24 miesiące.",Generated Seller,,9,Warsaw Main Warehouse,5301.64,3,,,,ABSENT
GEN-DAI-1018,True,https://placehold.co/600x400?text=Daikin+Zaawansowane,Komponenty systemów bezpieczeństwa,Zaawansowane,Daikin,manufacturer,24,0,pl,Daikin Zaawansowane Series 299,"Daikin Zaawansowane Series 299 to produkt z kategorii Komponenty systemów bezpieczeństwa, charakteryzujący się wysoką jakością wykonania i niezawodnością.","Specyfikacja: Zaawansowane, moc 45W, gwarancja 24 miesiące.",Generated Seller,,10,Warsaw Main Warehouse,7272.63,29,,,,NEW
GEN-DAI-1019,True,https://placehold.co/600x400?text=Daikin+Standard,Komponenty niskonapięciowe,Standard,Daikin,manufacturer,24,0,pl,Daikin Standard Series 550,"Daikin Standard Series 550 to produkt z kategorii Komponenty niskonapięciowe, charakteryzujący się wysoką jakością wykonania i niezawodnością.","Specyfikacja: Standard, moc 35W, gwarancja 24 miesiące.",Generated Seller,,8,Kyiv Central Storage,4112.97,7,,,,HOT_DEALS
GEN-SCH-1020,True,https://placehold.co/600x400?text=Schneider Electrics+Standard,Urządzenia komunikacyjne,Standard,Schneider Electrics,manufacturer,24,0,pl,Schneider Electrics Standard Series 134,"Schneider Electrics Standard Series 134 to produkt z kategorii Urządzenia komunikacyjne, charakteryzujący się wysoką jakością wykonania i niezawodnością.","Specyfikacja: Standard, moc 100W, gwarancja 24 miesiące.",Generated Seller,,10,Berlin Hub,6474.45,23,,,,LIMITED_EDITION
GEN-SIE-1001,True,https://placehold.co/600x400?text=Siemens+Zaawansowane,Bezpieczniki,Zaawansowane,Siemens,manufacturer,24,0,pl,Siemens Zaawansowane Series 539,"Siemens Zaawansowane Series 539 to produkt z kategorii Bezpieczniki, charakteryzujący się wysoką jakością wykonania i niezawodnością.","Specyfikacja: Zaawansowane, moc 127W, gwarancja 24 miesiące.",Generated Seller,,8,Lviv Warehouse,4205.44,29,,,,HOT_DEALS
GEN-DAI-1002,True,https://placehold.co/600x400?text=Daikin+Standard,Konstrukcje,Standard,Daikin,manufacturer,24,0,pl,Daikin Standard Series 252,"Daikin Standard Series 252 to produkt z kategorii Konstrukcje, charakteryzujący się wysoką jakością wykonania i niezawodnością.","Specyfikacja: Standard, moc 30W, gwarancja 24 miesiące.",Generated Seller,,8,Warsaw Main Warehouse,5301.64,3,,,,ABSENT
GEN-SCH-1003,True,https://placehold.co/600x400?text=Schneider Electrics+Standard,Komponenty systemów sterowania,Standard,Schneider Electrics,manufacturer,24,0,pl,Schneider Electrics Standard Series 975,"Schneider Electrics Standard Series 975 to produkt z kategorii Komponenty systemów sterowania, charakteryzujący się wysoką jakością wykonania i niezawodnością.","Specyfikacja: Standard, moc 113W, gwarancja 24 miesiące.",Generated Seller,,3,Warsaw Main Warehouse,7272.63,29,,,,NEW
GEN-ATL-1004,True,https://placehold.co/600x400?text=Atlas Copco+Standard,Komponenty pneumatyczne,Standard,Atlas Copco,manufacturer,24,0,pl,Atlas Copco Standard Series 520,"Atlas Copco Standard Series 520 to produkt z kategorii Komponenty pneumatyczne, charakteryzujący się wysoką jakością wykonania i niezawodnością.","Specyfikacja: Standard, moc 116W, gwarancja 24 miesiące.",Generated Seller,,6,Kyiv Central Storage,4112.97,7,,,,ABSENT
GEN-SIE-1005,True,https://placehold.co/600x400?text=Siemens+Standard,Zawory,Standard,Siemens,manufacturer,24,0,pl,Siemens Standard Series 849,"Siemens Standard Series 849 to produkt z kategorii Zawory, charakteryzujący się wysoką jakością wykonania i niezawodnością.","Specyfikacja: Standard, moc 150W, gwarancja 24 miesiące.",Generated Seller,,10,Berlin Hub,6474.45,23,,,,NEW
